locus_tag	ftype	length_bp	gene	EC_number	COG	product
KNDGMFLB_00850	CDS	324				hypothetical protein
KNDGMFLB_00851	CDS	2361				hypothetical protein
KNDGMFLB_00852	CDS	513	apt	2.4.2.7		Adenine phosphoribosyltransferase
KNDGMFLB_00853	CDS	2205	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
KNDGMFLB_00854	CDS	399	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
KNDGMFLB_00855	CDS	1557				hypothetical protein
KNDGMFLB_00856	CDS	171				hypothetical protein
KNDGMFLB_00857	CDS	1275	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
KNDGMFLB_00858	CDS	1779	aspS	6.1.1.12		Aspartate--tRNA ligase
KNDGMFLB_00859	CDS	765				hypothetical protein
KNDGMFLB_00860	CDS	1266			COG2256	putative AAA domain-containing protein
KNDGMFLB_00861	CDS	420	cymR			HTH-type transcriptional regulator CymR
KNDGMFLB_00862	CDS	1140	iscS_2	2.8.1.7		Cysteine desulfurase IscS
KNDGMFLB_00863	CDS	1116	mnmA	2.8.1.13		tRNA-specific 2-thiouridylase MnmA
KNDGMFLB_00864	CDS	651	yrrB			TPR repeat-containing protein YrrB
KNDGMFLB_00865	CDS	2397	recD2	3.6.4.12	COG0507	ATP-dependent RecD-like DNA helicase
KNDGMFLB_00866	CDS	465				hypothetical protein
KNDGMFLB_00867	CDS	192				hypothetical protein
KNDGMFLB_00868	CDS	132				hypothetical protein
KNDGMFLB_00869	CDS	657	glnP		COG0765	putative glutamine ABC transporter permease protein GlnP
KNDGMFLB_00870	CDS	651	glnM		COG0765	putative glutamine ABC transporter permease protein GlnM
KNDGMFLB_00871	CDS	822	glnH		COG0834	ABC transporter glutamine-binding protein GlnH
KNDGMFLB_00872	CDS	729	glnQ_1	3.6.3.-	COG1126	Glutamine transport ATP-binding protein GlnQ
KNDGMFLB_00873	CDS	1062			COG0628	Putative transport protein
KNDGMFLB_00874	CDS	2637	alaS	6.1.1.7		Alanine--tRNA ligase
KNDGMFLB_00875	CDS	267				hypothetical protein
KNDGMFLB_00876	CDS	417	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
KNDGMFLB_00877	CDS	282				hypothetical protein
KNDGMFLB_00878	CDS	1083	mltG_1	4.2.2.-		Endolytic murein transglycosylase
KNDGMFLB_00879	CDS	654	trmR	2.1.1.-	COG4122	tRNA 5-hydroxyuridine methyltransferase
KNDGMFLB_00880	CDS	930	rlhA		COG0826	23S rRNA 5-hydroxycytidine synthase
KNDGMFLB_00881	CDS	1269				hypothetical protein
KNDGMFLB_00882	CDS	636	udk	2.7.1.48		Uridine kinase
KNDGMFLB_00883	CDS	474	greA		COG0782	Transcription elongation factor GreA
KNDGMFLB_00884	CDS	1755	pbpI		COG0768	Penicillin-binding protein 4B
KNDGMFLB_00885	CDS	702				hypothetical protein
KNDGMFLB_00886	CDS	204				hypothetical protein
KNDGMFLB_00887	CDS	642	yrrT	2.1.1.-		putative methyltransferase YrrT
KNDGMFLB_00888	CDS	696	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
KNDGMFLB_00889	CDS	924	mccA	2.5.1.134	COG0031	O-acetylserine dependent cystathionine beta-synthase
KNDGMFLB_00890	CDS	1140	mccB	4.4.1.1	COG0626	Cystathionine gamma-lyase
KNDGMFLB_00891	CDS	231				hypothetical protein
KNDGMFLB_00892	CDS	483				hypothetical protein
KNDGMFLB_00893	CDS	2949		1.17.1.9		Putative formate dehydrogenase
KNDGMFLB_00894	CDS	369				hypothetical protein
KNDGMFLB_00895	CDS	801	focB		COG2116	putative formate transporter 2
KNDGMFLB_00896	CDS	117				hypothetical protein
KNDGMFLB_00897	CDS	150				hypothetical protein
KNDGMFLB_00898	CDS	543	yrhH	2.1.1.-	COG0500	Putative methyltransferase YrhH
KNDGMFLB_00899	CDS	585	bm3R1_1			HTH-type transcriptional repressor Bm3R1
KNDGMFLB_00900	CDS	3165	cypB		COG0369	Bifunctional cytochrome P450/NADPH--P450 reductase 2
KNDGMFLB_00901	CDS	291				hypothetical protein
KNDGMFLB_00902	CDS	1905	oatA	2.3.1.-		O-acetyltransferase OatA
KNDGMFLB_00903	CDS	858	rsiV			Anti-sigma-V factor RsiV
KNDGMFLB_00904	CDS	501	sigV		COG1595	RNA polymerase sigma factor SigV
KNDGMFLB_00905	CDS	828				hypothetical protein
KNDGMFLB_00906	CDS	633	leuE		COG1280	Leucine efflux protein
KNDGMFLB_00907	CDS	1389	cycA_1		COG1113	D-serine/D-alanine/glycine transporter
KNDGMFLB_00908	CDS	2817	dgaR			Transcriptional regulatory protein DagR
KNDGMFLB_00909	CDS	441	levD		COG2893	PTS system fructose-specific EIIA component
KNDGMFLB_00910	CDS	489	levE	2.7.1.202	COG3444	PTS system fructose-specific EIIB component
KNDGMFLB_00911	CDS	810	sorA		COG3715	PTS system sorbose-specific EIIC component
KNDGMFLB_00912	CDS	828	manZ		COG3716	PTS system mannose-specific EIID component
KNDGMFLB_00913	CDS	2034	sacC	3.2.1.80	COG1621	Levanase
KNDGMFLB_00914	CDS	510	yraA	3.2.-.-	COG0693	Putative cysteine protease YraA
KNDGMFLB_00915	CDS	1050	adhA	1.1.1.-	COG1064	putative formaldehyde dehydrogenase AdhA
KNDGMFLB_00916	CDS	195				hypothetical protein
KNDGMFLB_00917	CDS	423	adhR		COG0789	HTH-type transcriptional regulator AdhR
KNDGMFLB_00918	CDS	300				hypothetical protein
KNDGMFLB_00919	CDS	198				hypothetical protein
KNDGMFLB_00920	CDS	1137		1.1.1.1	COG1063	putative zinc-binding alcohol dehydrogenase
KNDGMFLB_00921	CDS	369				hypothetical protein
KNDGMFLB_00922	CDS	246				hypothetical protein
KNDGMFLB_00923	CDS	387				hypothetical protein
KNDGMFLB_00924	CDS	435				hypothetical protein
KNDGMFLB_00925	CDS	357				hypothetical protein
KNDGMFLB_00926	CDS	816		3.-.-.-		putative hydrolase
KNDGMFLB_00927	CDS	264				hypothetical protein
KNDGMFLB_00928	CDS	834	csn	3.2.1.132		Chitosanase
KNDGMFLB_00929	CDS	189				hypothetical protein
KNDGMFLB_00930	CDS	1104	mii	5.3.3.6		3-methylitaconate isomerase
KNDGMFLB_00931	CDS	870	cmpR_1			HTH-type transcriptional activator CmpR
KNDGMFLB_00932	CDS	1317	citN_1		COG2851	Citrate transporter
KNDGMFLB_00933	CDS	981	yajO	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
KNDGMFLB_00934	CDS	531	sigM_1		COG1595	ECF RNA polymerase sigma factor SigM
KNDGMFLB_00935	CDS	756				hypothetical protein
KNDGMFLB_00936	CDS	162				hypothetical protein
KNDGMFLB_00937	CDS	711	yncM_1			putative protein YncM
KNDGMFLB_00938	CDS	798	yrpC	5.1.1.3	COG0796	Glutamate racemase 2
KNDGMFLB_00939	CDS	1044	nmoA	1.13.12.-	COG2070	Nitronate monooxygenase
KNDGMFLB_00940	CDS	855	aadK	2.7.7.-		Aminoglycoside 6-adenylyltransferase
KNDGMFLB_00941	CDS	504				hypothetical protein
KNDGMFLB_00942	CDS	390				hypothetical protein
KNDGMFLB_00943	CDS	564	rutB	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
KNDGMFLB_00944	CDS	1233	pksS_1	1.14.-.-	COG2124	Polyketide biosynthesis cytochrome P450 PksS
KNDGMFLB_00945	CDS	276			COG2732	Barstar
KNDGMFLB_00946	CDS	474	lrp_1		COG1522	Leucine-responsive regulatory protein
KNDGMFLB_00947	CDS	765				hypothetical protein
KNDGMFLB_00948	CDS	333				hypothetical protein
KNDGMFLB_00949	CDS	1323	brnQ_2		COG1114	Branched-chain amino acid transport system 2 carrier protein
KNDGMFLB_00950	CDS	318				hypothetical protein
KNDGMFLB_00951	CDS	891	gltR_1		COG0583	HTH-type transcriptional regulator GltR
KNDGMFLB_00952	CDS	390				hypothetical protein
KNDGMFLB_00953	CDS	879	prsA	5.2.1.8	COG0760	Foldase protein PrsA
KNDGMFLB_00954	CDS	519				hypothetical protein
KNDGMFLB_00955	CDS	333	yhaI			putative protein YhaI
KNDGMFLB_00956	CDS	612	hpr		COG1846	HTH-type transcriptional regulator Hpr
KNDGMFLB_00957	CDS	402				hypothetical protein
KNDGMFLB_00958	CDS	519	trpP			putative tryptophan transport protein
KNDGMFLB_00959	CDS	1080	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
KNDGMFLB_00960	CDS	438	hit		COG0537	Protein hit
KNDGMFLB_00961	CDS	744	ecsA_2		COG1131	ABC-type transporter ATP-binding protein EcsA
KNDGMFLB_00962	CDS	1227				hypothetical protein
KNDGMFLB_00963	CDS	711				hypothetical protein
KNDGMFLB_00964	CDS	1191		3.5.1.47		N-acetyldiaminopimelate deacetylase
KNDGMFLB_00965	CDS	1389				hypothetical protein
KNDGMFLB_00966	CDS	180				hypothetical protein
KNDGMFLB_00967	CDS	501	hmoB	1.14.14.18	COG2329	Heme-degrading monooxygenase HmoB
KNDGMFLB_00968	CDS	2145	pbpF		COG0744	Penicillin-binding protein 1F
KNDGMFLB_00969	CDS	1062	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
KNDGMFLB_00970	CDS	933	hemH	4.99.1.1	COG0276	Ferrochelatase
KNDGMFLB_00971	CDS	1413	hemY	1.3.3.4	COG1232	Protoporphyrinogen oxidase
KNDGMFLB_00972	CDS	576				hypothetical protein
KNDGMFLB_00973	CDS	2328	smc_2			Chromosome partition protein Smc
KNDGMFLB_00974	CDS	978	fabHB	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 2
KNDGMFLB_00975	CDS	777				hypothetical protein
KNDGMFLB_00976	CDS	1041	ysdC_3	3.4.11.-	COG1363	Putative aminopeptidase YsdC
KNDGMFLB_00977	CDS	408				hypothetical protein
KNDGMFLB_00978	CDS	1290	gltT			Proton/sodium-glutamate symport protein
KNDGMFLB_00979	CDS	735			COG1234	putative protein
KNDGMFLB_00980	CDS	996	lplJ	6.3.1.20	COG0095	Lipoate-protein ligase LplJ
KNDGMFLB_00981	CDS	645	yhfK	4.-.-.-	COG0702	putative sugar epimerase YhfK
KNDGMFLB_00982	CDS	1542	lcfB_2	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
KNDGMFLB_00983	CDS	396				hypothetical protein
KNDGMFLB_00984	CDS	1281	htpX_1	3.4.24.-		Protease HtpX
KNDGMFLB_00985	CDS	1146	aprE	3.4.21.62	COG1404	Subtilisin E
KNDGMFLB_00986	CDS	450				hypothetical protein
KNDGMFLB_00987	CDS	993	yhfP	1.6.5.-	COG0604	Putative quinone oxidoreductase YhfP
KNDGMFLB_00988	CDS	972	yhfQ		COG4594	Putative ABC transporter substrate-binding lipoprotein YhfQ
KNDGMFLB_00989	CDS	582	pspA	3.1.3.3	COG0406	Phosphoserine phosphatase 1
KNDGMFLB_00990	CDS	1095	yhfS	2.3.1.-	COG0183	Putative acetyl-CoA C-acetyltransferase YhfS
KNDGMFLB_00991	CDS	1440	yhfT	6.2.1.-	COG0318	putative acyl--CoA ligase YhfT
KNDGMFLB_00992	CDS	561	bioY_1		COG1268	putative biotin transporter BioY
KNDGMFLB_00993	CDS	1299	hemAT		COG0840	Heme-based aerotactic transducer HemAT
KNDGMFLB_00994	CDS	1530	petC_1	7.1.1.6		Cytochrome b6-f complex iron-sulfur subunit
KNDGMFLB_00995	CDS	858	ydaD_2	1.-.-.-		General stress protein 39
KNDGMFLB_00996	CDS	234				hypothetical protein
KNDGMFLB_00997	CDS	579	comK		COG4903	Competence transcription factor
KNDGMFLB_00998	CDS	900	yghA	1.-.-.-		putative oxidoreductase YghA
KNDGMFLB_00999	CDS	270				hypothetical protein
KNDGMFLB_01000	CDS	1470	yodF_1		COG0591	putative symporter YodF
KNDGMFLB_01001	CDS	201				hypothetical protein
KNDGMFLB_01002	CDS	363				hypothetical protein
KNDGMFLB_01003	CDS	624	ydjZ_2		COG0398	TVP38/TMEM64 family inner membrane protein YdjZ
KNDGMFLB_01004	CDS	507	sipV	3.4.21.89	COG0681	Signal peptidase I V
KNDGMFLB_01005	CDS	1497	oxyS	1.14.13.234		12-dehydrotetracycline 5-monooxygenase/anhydrotetracycline 6-monooxygenase
KNDGMFLB_01006	CDS	528	pchR_1			HTH-type transcriptional regulator PchR
KNDGMFLB_01007	CDS	1206	glcP		COG0738	Glucose/mannose transporter GlcP
KNDGMFLB_01008	CDS	1053	ntdC	1.1.1.361	COG0673	Glucose-6-phosphate 3-dehydrogenase
KNDGMFLB_01009	CDS	849	ntdB	3.1.3.92	COG0561	Kanosamine-6-phosphate phosphatase
KNDGMFLB_01010	CDS	1326	ntdA	2.6.1.104	COG0399	3-oxo-glucose-6-phosphate:glutamate aminotransferase
KNDGMFLB_01011	CDS	990	cytR		COG1609	HTH-type transcriptional repressor CytR
KNDGMFLB_01012	CDS	1155				hypothetical protein
KNDGMFLB_01013	CDS	1206	mdrP_2			Na(+), Li(+), K(+)/H(+) antiporter
KNDGMFLB_01014	CDS	1728	sgrR		COG4533	HTH-type transcriptional regulator SgrR
KNDGMFLB_01015	CDS	327	yhjQ		COG1145	putative cysteine-rich protein YhjQ
KNDGMFLB_01016	CDS	438				hypothetical protein
KNDGMFLB_01017	CDS	3501	addB	3.1.-.-	COG3857	ATP-dependent helicase/deoxyribonuclease subunit B
KNDGMFLB_01018	CDS	3699	addA	3.1.-.-	COG1074	ATP-dependent helicase/nuclease subunit A
KNDGMFLB_01019	CDS	1176	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
KNDGMFLB_01020	CDS	3393				hypothetical protein
KNDGMFLB_01021	CDS	303				hypothetical protein
KNDGMFLB_01022	CDS	219	gerPF_1			putative spore germination protein GerPF
KNDGMFLB_01023	CDS	402	gerPE			putative spore germination protein GerPE
KNDGMFLB_01024	CDS	177	gerPD			putative spore germination protein GerPD
KNDGMFLB_01025	CDS	618	gerPC			putative spore germination protein GerPC
KNDGMFLB_01026	CDS	234	gerPB			putative spore germination protein GerPB
KNDGMFLB_01027	CDS	222	gerPA			putative spore germination protein GerPA
KNDGMFLB_01028	CDS	171	yisI	3.1.3.-		Aspartyl-phosphate phosphatase YisI
KNDGMFLB_01029	CDS	924	cotH_1		COG5337	Inner spore coat protein H
KNDGMFLB_01030	CDS	906	yisK		COG0179	putative protein YisK
KNDGMFLB_01031	CDS	357				hypothetical protein
KNDGMFLB_01032	CDS	2685	wprA	3.4.21.-	COG1404	Cell wall-associated protease
KNDGMFLB_01033	CDS	564				hypothetical protein
KNDGMFLB_01034	CDS	1845	asnO	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 3
KNDGMFLB_01035	CDS	510	yizA		COG2318	putative protein YizA
KNDGMFLB_01036	CDS	804	yisP	2.5.1.-	COG1562	Putative phytoene/squalene synthase YisP
KNDGMFLB_01037	CDS	1368	yeeO		COG0534	putative FMN/FAD exporter YeeO
KNDGMFLB_01038	CDS	864	araC			Arabinose operon regulatory protein
KNDGMFLB_01039	CDS	1014	degA		COG1609	HTH-type transcriptional regulator DegA
KNDGMFLB_01040	CDS	1029	iolX	1.1.1.370	COG0673	scyllo-inositol 2-dehydrogenase (NAD(+))
KNDGMFLB_01041	CDS	510				hypothetical protein
KNDGMFLB_01042	CDS	612	argO		COG1279	Arginine exporter protein ArgO
KNDGMFLB_01043	CDS	1449	norG_1		COG1167	HTH-type transcriptional regulator NorG
KNDGMFLB_01044	CDS	639				hypothetical protein
KNDGMFLB_01045	CDS	807		3.1.1.2		Arylesterase
KNDGMFLB_01046	CDS	600	cysC_1	2.7.1.25	COG0529	putative adenylyl-sulfate kinase
KNDGMFLB_01047	CDS	1170	sat_1	2.7.7.4	COG2046	Sulfate adenylyltransferase
KNDGMFLB_01048	CDS	711	cysH_1	1.8.4.8	COG0175	Phosphoadenosine phosphosulfate reductase
KNDGMFLB_01049	CDS	687	comB	3.1.3.71	COG2045	putative 2-phosphosulfolactate phosphatase
KNDGMFLB_01050	CDS	759	yitD	4.4.1.19	COG1809	Phosphosulfolactate synthase
KNDGMFLB_01051	CDS	630				hypothetical protein
KNDGMFLB_01052	CDS	1116	yitF	5.-.-.-	COG4948	Putative isomerase YitF
KNDGMFLB_01053	CDS	1269	ymfD_1			Bacillibactin exporter
KNDGMFLB_01054	CDS	849				hypothetical protein
KNDGMFLB_01055	CDS	450				hypothetical protein
KNDGMFLB_01056	CDS	1839	yitJ		COG0646	Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase
KNDGMFLB_01057	CDS	492				hypothetical protein
KNDGMFLB_01058	CDS	849	cvfB			Conserved virulence factor B
KNDGMFLB_01059	CDS	585	sdpC_1			Sporulation delaying protein C
KNDGMFLB_01060	CDS	930	sdpB_1			Sporulation-delaying protein SdpB
KNDGMFLB_01061	CDS	537				hypothetical protein
KNDGMFLB_01062	CDS	348				hypothetical protein
KNDGMFLB_01063	CDS	588				hypothetical protein
KNDGMFLB_01064	CDS	294				hypothetical protein
KNDGMFLB_01065	CDS	1617	nprB	3.4.24.-	COG3227	Neutral protease B
KNDGMFLB_01066	CDS	852			COG1307	Fatty acid-binding protein
KNDGMFLB_01067	CDS	843				hypothetical protein
KNDGMFLB_01068	CDS	456				hypothetical protein
KNDGMFLB_01069	CDS	147				hypothetical protein
KNDGMFLB_01070	CDS	813	yitU	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU
KNDGMFLB_01071	CDS	768				hypothetical protein
KNDGMFLB_01072	CDS	309	sufT			Fe-S protein maturation auxiliary factor SufT
KNDGMFLB_01073	CDS	171				hypothetical protein
KNDGMFLB_01074	CDS	1431	dprE1	1.1.98.3	COG0277	Decaprenylphosphoryl-beta-D-ribose oxidase
KNDGMFLB_01075	CDS	540	mdtG_1			Multidrug resistance protein MdtG
KNDGMFLB_01076	CDS	1038	argC	1.2.1.38		N-acetyl-gamma-glutamyl-phosphate reductase
KNDGMFLB_01077	CDS	1221	argJ			Arginine biosynthesis bifunctional protein ArgJ
KNDGMFLB_01078	CDS	777	argB	2.7.2.8	COG0548	Acetylglutamate kinase
KNDGMFLB_01079	CDS	1158	argD	2.6.1.11	COG4992	Acetylornithine aminotransferase
KNDGMFLB_01080	CDS	1062	carA_1	6.3.5.5		Carbamoyl-phosphate synthase arginine-specific small chain
KNDGMFLB_01081	CDS	3093	carB_1	6.3.5.5		Carbamoyl-phosphate synthase arginine-specific large chain
KNDGMFLB_01082	CDS	960	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase
KNDGMFLB_01083	CDS	180				hypothetical protein
KNDGMFLB_01084	CDS	186				hypothetical protein
KNDGMFLB_01085	CDS	735				hypothetical protein
KNDGMFLB_01086	CDS	558				hypothetical protein
KNDGMFLB_01087	CDS	954				Purine-binding protein
KNDGMFLB_01088	CDS	192				hypothetical protein
KNDGMFLB_01089	CDS	234				hypothetical protein
KNDGMFLB_01090	CDS	939	fabHA	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 1
KNDGMFLB_01091	CDS	1242	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
KNDGMFLB_01092	CDS	786				hypothetical protein
KNDGMFLB_01093	CDS	987	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
KNDGMFLB_01094	CDS	990	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
KNDGMFLB_01095	CDS	1632	appA			Oligopeptide-binding protein AppA
KNDGMFLB_01096	CDS	951	dppB_1		COG0601	Dipeptide transport system permease protein DppB
KNDGMFLB_01097	CDS	912	dppC_1		COG1173	Dipeptide transport system permease protein DppC
KNDGMFLB_01098	CDS	753				hypothetical protein
KNDGMFLB_01099	CDS	993	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
KNDGMFLB_01100	CDS	1638	oppA		COG4166	Oligopeptide-binding protein OppA
KNDGMFLB_01101	CDS	936	oppB		COG0601	Oligopeptide transport system permease protein OppB
KNDGMFLB_01102	CDS	918	oppC		COG1173	Oligopeptide transport system permease protein OppC
KNDGMFLB_01103	CDS	1068	oppD_2		COG0444	Oligopeptide transport ATP-binding protein OppD
KNDGMFLB_01104	CDS	918	oppF_2		COG4608	Oligopeptide transport ATP-binding protein OppF
KNDGMFLB_01105	CDS	1110				hypothetical protein
KNDGMFLB_01106	CDS	579	yjbC	2.3.1.-		Putative acetyltransferase YjbC
KNDGMFLB_01107	CDS	396	spxA		COG1393	Regulatory protein Spx
KNDGMFLB_01108	CDS	657				hypothetical protein
KNDGMFLB_01109	CDS	657	mecA		COG4862	Adapter protein MecA 1
KNDGMFLB_01110	CDS	1152	coiA		COG4469	Competence protein CoiA
KNDGMFLB_01111	CDS	2013	pepF1_1	3.4.24.-		Oligoendopeptidase F, plasmid
KNDGMFLB_01112	CDS	168				hypothetical protein
KNDGMFLB_01113	CDS	204				hypothetical protein
KNDGMFLB_01114	CDS	900				hypothetical protein
KNDGMFLB_01115	CDS	399	yjbI		COG2346	Group 2 truncated hemoglobin YjbI
KNDGMFLB_01116	CDS	735	mltF_1	4.2.2.-		Membrane-bound lytic murein transglycosylase F
KNDGMFLB_01117	CDS	573	yjbK	3.6.1.-	COG4116	Putative triphosphatase YjbK
KNDGMFLB_01118	CDS	369				hypothetical protein
KNDGMFLB_01119	CDS	636	yjbM	2.7.6.5	COG2357	GTP pyrophosphokinase YjbM
KNDGMFLB_01120	CDS	801	ppnKA	2.7.1.23	COG0061	NAD kinase 1
KNDGMFLB_01121	CDS	900				hypothetical protein
KNDGMFLB_01122	CDS	735	prpE	3.6.1.17	COG0639	Bis(5'-nucleosyl)-tetraphosphatase PrpE [asymmetrical]
KNDGMFLB_01123	CDS	1845	kefB			Glutathione-regulated potassium-efflux system protein KefB
KNDGMFLB_01124	CDS	711	tenA	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
KNDGMFLB_01125	CDS	618	tenI	5.3.99.10	COG0352	Thiazole tautomerase
KNDGMFLB_01126	CDS	1110	thiO_1	1.4.3.19	COG0665	Glycine oxidase
KNDGMFLB_01127	CDS	204	thiS		COG2104	Sulfur carrier protein ThiS
KNDGMFLB_01128	CDS	765	thiG	2.8.1.10	COG2022	Thiazole synthase
KNDGMFLB_01129	CDS	1011				hypothetical protein
KNDGMFLB_01130	CDS	816	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
KNDGMFLB_01131	CDS	777	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
KNDGMFLB_01132	CDS	678				hypothetical protein
KNDGMFLB_01133	CDS	447	cotZ			Spore coat protein Z
KNDGMFLB_01134	CDS	489	cotY			Spore coat protein Y
KNDGMFLB_01135	CDS	519	cotX			Spore coat protein X
KNDGMFLB_01136	CDS	318	cotW			Spore coat protein W
KNDGMFLB_01137	CDS	387	cotV			Spore coat protein V
KNDGMFLB_01138	CDS	357	yjcA			Sporulation protein YjcA
KNDGMFLB_01139	CDS	207				hypothetical protein
KNDGMFLB_01140	CDS	150	yjcZ			Sporulation protein YjcZ
KNDGMFLB_01141	CDS	255				hypothetical protein
KNDGMFLB_01142	CDS	2280	yjcD	3.6.4.12	COG0210	Putative ATP-dependent DNA helicase YjcD
KNDGMFLB_01143	CDS	255				hypothetical protein
KNDGMFLB_01144	CDS	423	yjcF_1	2.3.1.-		putative N-acetyltransferase YjcF
KNDGMFLB_01145	CDS	516	yjcG	3.1.-.-	COG1514	Putative phosphoesterase YjcG
KNDGMFLB_01146	CDS	723				hypothetical protein
KNDGMFLB_01147	CDS	1146	metI	2.5.1.-	COG0626	Cystathionine gamma-synthase/O-acetylhomoserine (thiol)-lyase
KNDGMFLB_01148	CDS	1173	metC	4.4.1.13	COG0626	Cystathionine beta-lyase MetC
KNDGMFLB_01149	CDS	546	rimJ	2.3.1.267	COG1670	[Ribosomal protein S5]-alanine N-acetyltransferase
KNDGMFLB_01150	CDS	1191				hypothetical protein
KNDGMFLB_01151	tRNA	75				tRNA-Val(gac)
KNDGMFLB_01152	CDS	159				hypothetical protein
KNDGMFLB_01153	CDS	1230				hypothetical protein
KNDGMFLB_01154	CDS	321				hypothetical protein
KNDGMFLB_01155	CDS	132				hypothetical protein
KNDGMFLB_01156	CDS	171				hypothetical protein
KNDGMFLB_01157	CDS	462				hypothetical protein
KNDGMFLB_01158	CDS	504				hypothetical protein
KNDGMFLB_01159	CDS	285	yjcQ			putative protein YjcQ
KNDGMFLB_01160	CDS	528				hypothetical protein
KNDGMFLB_01161	CDS	282	yjcS		COG1359	putative protein YjcS
KNDGMFLB_01162	CDS	756	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
KNDGMFLB_01163	CDS	348	yjdB		COG5492	putative protein YjdB
KNDGMFLB_01164	CDS	1947	manR		COG1762	Transcriptional regulator ManR
KNDGMFLB_01165	CDS	1953	manP		COG1299	PTS system mannose-specific EIIBCA component
KNDGMFLB_01166	CDS	948	manA	5.3.1.8	COG1482	Mannose-6-phosphate isomerase ManA
KNDGMFLB_01167	CDS	414	yjdF			putative protein YjdF
KNDGMFLB_01168	CDS	507				hypothetical protein
KNDGMFLB_01169	CDS	396				hypothetical protein
KNDGMFLB_01170	CDS	480	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
KNDGMFLB_01171	CDS	195				hypothetical protein
KNDGMFLB_01172	CDS	330				hypothetical protein
KNDGMFLB_01173	CDS	963	ctaB1	2.5.1.141	COG0109	Protoheme IX farnesyltransferase 1
KNDGMFLB_01174	CDS	249	cotT			Spore coat protein T
KNDGMFLB_01175	CDS	1401	pdaC	3.5.1.-	COG0726	Peptidoglycan-N-acetylmuramic acid deacetylase PdaC
KNDGMFLB_01176	CDS	474				hypothetical protein
KNDGMFLB_01177	CDS	168	yjfB			putative protein YjfB
KNDGMFLB_01178	CDS	900				hypothetical protein
KNDGMFLB_01179	CDS	279				hypothetical protein
KNDGMFLB_01180	CDS	576	yjgB			putative protein YjgB
KNDGMFLB_01181	CDS	2958		1.17.1.9		Putative formate dehydrogenase
KNDGMFLB_01182	CDS	561				hypothetical protein
KNDGMFLB_01183	CDS	642	yjhA			putative lipoprotein YjhA
KNDGMFLB_01184	CDS	618				hypothetical protein
KNDGMFLB_01185	CDS	279				hypothetical protein
KNDGMFLB_01186	CDS	1191	yjiB	1.14.-.-	COG2124	Putative cytochrome P450 YjiB
KNDGMFLB_01187	CDS	1179	oleD_1	2.4.1.-		Oleandomycin glycosyltransferase
KNDGMFLB_01188	CDS	189				hypothetical protein
KNDGMFLB_01189	CDS	813				hypothetical protein
KNDGMFLB_01190	CDS	753	fetB		COG0390	putative iron export permease protein FetB
KNDGMFLB_01191	CDS	753	glnQ_2			Glutamine transport ATP-binding protein GlnQ
KNDGMFLB_01192	CDS	975				hypothetical protein
KNDGMFLB_01193	CDS	498				hypothetical protein
KNDGMFLB_01194	CDS	423	yjlC		COG2427	putative protein YjlC
KNDGMFLB_01195	CDS	1179	yjlD	1.6.99.-	COG1252	NADH dehydrogenase-like protein YjlD
KNDGMFLB_01196	CDS	1410	uxaC	5.3.1.12	COG1904	Uronate isomerase
KNDGMFLB_01197	CDS	1380	yjmB		COG2211	putative symporter YjmB
KNDGMFLB_01198	CDS	1014	yjmC	1.1.1.-	COG2055	putative oxidoreductase YjmC
KNDGMFLB_01199	CDS	1020	yjmD	1.-.-.-	COG1063	putative zinc-type alcohol dehydrogenase-like protein YjmD
